x;y;date
0;0;23/01/2016
11;1;18/02/2016
28;1;22/02/2016
10;1;25/02/2016
21;2;15/03/2016
33;1;16/03/2016
21;1;19/03/2016
37;1;21/03/2016
8;1;25/03/2016
10;1;26/03/2016
40;1;21/04/2016
43;2;22/04/2016
43;1;04/05/2016
43;1;06/05/2016
43;1;11/05/2016
43;1;13/05/2016
29;2;14/05/2016
81;1;18/05/2016
12;2;28/05/2016
34;1;01/06/2016
48;2;02/06/2016
24;1;05/06/2016
66;1;08/06/2016
56;2;14/06/2016
50;1;20/06/2016
43;1;22/06/2016
53;1;23/06/2016
42;2;27/06/2016
72;2;28/06/2016
64;1;29/06/2016
19;2;02/07/2016
42;1;04/07/2016
51;1;05/07/2016
37;1;08/07/2016
32;1;09/07/2016
51;1;10/07/2016
114;1;11/07/2016
38;1;14/07/2016
19;1;16/07/2016
33;1;17/07/2016
73;1;18/07/2016
56;1;19/07/2016
47;1;21/07/2016
40;1;24/07/2016
68;2;26/07/2016
52;1;27/07/2016
49;1;29/07/2016
83;1;08/08/2016
69;1;09/08/2016
79;1;11/08/2016
26;2;13/08/2016
29;1;14/08/2016
152;4;19/08/2016
73;2;20/08/2016
98;1;23/08/2016
94;2;24/08/2016
114;2;25/08/2016
51;2;27/08/2016
102;2;29/08/2016
109;4;01/09/2016
155;2;02/09/2016
57;1;03/09/2016
91;2;04/09/2016
129;3;05/09/2016
114;2;06/09/2016
134;1;07/09/2016
218;10;08/09/2016
180;6;09/09/2016
83;1;10/09/2016
118;2;11/09/2016
159;3;12/09/2016
208;3;13/09/2016
257;5;14/09/2016
173;5;15/09/2016
209;5;16/09/2016
126;6;17/09/2016
149;3;18/09/2016
302;2;19/09/2016
266;1;20/09/2016
382;9;21/09/2016
271;4;22/09/2016
342;2;23/09/2016
181;4;24/09/2016
179;3;25/09/2016
319;6;26/09/2016
367;6;27/09/2016
405;7;28/09/2016
267;3;29/09/2016
340;2;30/09/2016
197;1;01/10/2016
180;5;02/10/2016
390;3;03/10/2016
464;10;04/10/2016
517;14;05/10/2016
414;8;06/10/2016
677;10;07/10/2016
335;7;08/10/2016
300;9;09/10/2016
444;9;10/10/2016
633;12;11/10/2016
540;4;12/10/2016
490;7;13/10/2016
416;10;14/10/2016
381;8;15/10/2016
338;12;16/10/2016
623;9;17/10/2016
505;7;18/10/2016
638;11;19/10/2016
614;10;20/10/2016
666;6;21/10/2016
349;6;22/10/2016
405;10;23/10/2016
680;7;24/10/2016
572;13;25/10/2016
712;8;26/10/2016
637;10;27/10/2016
606;8;28/10/2016
493;8;29/10/2016
357;7;30/10/2016
730;11;31/10/2016
614;10;01/11/2016
720;10;02/11/2016
680;11;03/11/2016
721;12;04/11/2016
608;2;05/11/2016
487;16;06/11/2016
596;10;07/11/2016
680;13;08/11/2016
703;8;09/11/2016
738;10;10/11/2016
818;9;11/11/2016
499;4;12/11/2016
614;6;13/11/2016
793;6;14/11/2016
952;13;15/11/2016
1033;9;16/11/2016
957;10;17/11/2016
850;14;18/11/2016
613;6;19/11/2016
678;9;20/11/2016
906;9;21/11/2016
981;7;22/11/2016
990;6;23/11/2016
932;7;24/11/2016
901;4;25/11/2016
572;8;26/11/2016
699;15;27/11/2016
985;7;28/11/2016
881;10;29/11/2016
1005;10;30/11/2016
789;8;01/12/2016
919;14;02/12/2016
507;11;03/12/2016
548;7;04/12/2016
806;9;05/12/2016
996;8;06/12/2016
908;8;07/12/2016
859;9;08/12/2016
851;14;09/12/2016
661;3;10/12/2016
623;10;11/12/2016
1043;16;12/12/2016
1085;13;13/12/2016
1187;10;14/12/2016
1030;12;15/12/2016
977;10;16/12/2016
857;12;17/12/2016
835;11;18/12/2016
1192;8;19/12/2016
1038;9;20/12/2016
998;12;21/12/2016
916;9;22/12/2016
